type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Rio Chili,-16.43519269560914,-71.566962257124,8181186.87387872,225881.472047515,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43594990340171,-71.56745827223506,8181102.3688726,225829.537632574,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4366836543859,-71.5683393147329,8181019.93853593,225736.431745173,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43742407864205,-71.5689241560807,8180937.17069293,225674.983993038,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43893444184058,-71.56940285653502,8180769.30429653,225625.959978478,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43948029928796,-71.5700383327992,8180708.00833534,225558.829735181,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44062733749832,-71.57063257684207,8180580.20944016,225496.951060166,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44181483747003,-71.57114719798031,8180448.03872385,225443.637405238,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44240042833846,-71.57168425205838,8180382.47663293,225387.080485226,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44366688506551,-71.57205011118509,8180241.76600476,225349.773540043,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44509835880283,-71.5723183301896,8180082.918318,225323.131712303,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4462835794145,-71.57305845249648,8179950.69261639,225245.724615805,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44706017508666,-71.57391427389585,8179863.54944522,225155.381300679,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44776004022456,-71.57446091267408,8179785.32146953,225097.963995409,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44809888926869,-71.57476568927264,8179747.39170253,225065.878962676,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44861487805485,-71.57517927081423,8179689.70205157,225022.418990253,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44900788419796,-71.57563938770744,8179645.56480163,224973.813963759,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44922245976659,-71.57622379222751,8179621.01293465,224911.678497841,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.44965965070269,-71.57696105089886,8179571.60616081,224833.52625748,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45033457972426,-71.57753161603533,8179496.10521001,224773.519450763,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45056829969854,-71.57802149577248,8179469.56189002,224721.510625799,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4509607115278,-71.5786073932252,8179425.31820263,224659.467477209,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45138615740129,-71.57890855738967,8179377.80503239,224627.891999374,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45199596301722,-71.57922915486213,8179309.85411493,224594.50083111,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45252651464694,-71.57927312818802,8179251.05472016,224590.552168984,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45274754692903,-71.57948572512423,8179226.29356001,224568.150783916,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45309837625686,-71.57987463419984,8179186.92163584,224527.095880115,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4534012001397,-71.58015033998012,8179153.01885671,224498.067757985,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45403293918924,-71.58028480950003,8179082.89311648,224484.59400509,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45435675542387,-71.5805156708244,8179046.72726237,224460.38687138,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.45479843239481,-71.58066004817765,8178997.63049375,224445.586180358,False, , ,0, , , , , , 
