type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42432613819448,-71.48805297860977,8182495.17698921,234297.733938461,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42436995155117,-71.48816809629263,8182490.17541484,234285.493435447,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42455422446981,-71.48827786938043,8182469.63097595,234274.015063537,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42475063276827,-71.48841630560715,8182447.70542077,234259.490630239,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42498139817286,-71.48870598137486,8182421.77768123,234228.853370961,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4250516462511,-71.48881421801019,8182413.85858265,234217.384114394,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42513301382545,-71.48890426023,8182404.73236283,234207.874026754,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42524556684474,-71.48898545972656,8182392.16529829,234199.351206532,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42553725290674,-71.4894756389938,8182359.22972715,234147.373713592,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42562277727561,-71.48964241986637,8182349.54247267,234129.670008145,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42573993931212,-71.48966861204289,8182336.53737989,234127.030917232,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4258591827461,-71.48969589370817,8182323.30042914,234124.278254971,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4261543263448,-71.48989808079735,8182290.3602639,234103.076888664,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42644324654235,-71.49003263279583,8182258.19791372,234089.093726788,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42678617848657,-71.4902232857542,8182219.98233458,234069.189940892,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4271979000855,-71.490537305144,8182173.98907677,234036.198616074,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42735861884531,-71.49062175314516,8182156.08534593,234027.394499415,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4276287903012,-71.4907436863797,8182126.01512413,234014.73429797,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42779630830916,-71.49087183908254,8182107.30120313,234001.269797274,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42787742367722,-71.49093125156539,8182098.24303881,233995.032272524,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42801673870951,-71.49096790401107,8182082.77166117,233991.305849167,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42813212752691,-71.49103401406177,8182069.91036498,233984.399411389,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.428376046436,-71.4913353368439,8182042.51060195,233952.536512809,False, , ,0, , , , , , 
